City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hofn,90,IS,1586799894,87,64.25,-15.21,46.4,24.16
Tommot,100,RU,1586799785,93,58.96,126.29,29.43,4.54
Sisimiut,98,GL,1586799896,96,66.94,-53.67,31.06,35.05
Trat,84,TH,1586799898,77,12.5,102.5,74.82,4.05
Bulalacao,36,PH,1586799901,79,12.33,121.34,79.47,11.92
Luwuk,59,ID,1586799902,73,-0.95,122.79,80.49,2.64
Bayir,10,TR,1586799903,63,37.27,28.22,60.8,5.82
Katangli,100,RU,1586799904,97,51.71,143.23,27.72,3.2
Poopó,85,BO,1586799905,8,-18.37,-66.97,56.03,8.32
Makkah al Mukarramah,2,SA,1586799830,42,21.43,39.83,70.95,4.38
Elko,1,US,1586799907,25,41.0,-115.5,41.0,10.29
Bubaque,4,GW,1586799908,71,11.28,-15.83,80.01,14.18
Ustka,17,PL,1586799911,64,54.58,16.86,41.43,20.33
Baykal'sk,92,RU,1586799912,71,51.51,104.15,32.14,2.57
Egvekinot,68,RU,1586799913,85,66.32,-179.17,9.7,0.56
Katsuura,75,JP,1586799914,87,35.13,140.3,46.4,12.75
Karratha,45,AU,1586799916,61,-20.74,116.85,83.73,2.71
Matamoros,5,MX,1586799650,8,25.53,-103.25,77.0,4.7
Domoni,98,KM,1586799918,78,-12.26,44.53,83.28,10.0
Haysville,75,US,1586799919,32,37.56,-97.35,42.8,16.11
Kamuli,47,UG,1586799920,66,0.95,33.12,68.29,2.01
Charters Towers,1,AU,1586799921,83,-20.1,146.27,68.38,7.36
Panguna,1,PG,1586799922,81,-6.32,155.48,70.88,1.5
Coria,80,ES,1586799923,67,39.99,-6.54,63.0,5.01
Senno,100,RU,1586799924,89,59.53,33.92,42.26,5.06
Vestmanna,100,FO,1586799925,75,62.16,-7.17,42.8,12.75
Aksu,94,CN,1586799928,16,41.12,80.26,65.16,4.25
Yomou,97,GN,1586799929,61,7.56,-9.27,81.77,2.66
Tarsus,3,TR,1586799891,55,36.92,34.88,62.6,3.36
Caravelas,81,BR,1586799931,80,-17.71,-39.25,78.39,21.16
Camargo,0,MX,1586799932,9,27.67,-105.17,77.9,10.94
Makakilo City,1,US,1586799933,78,21.35,-158.09,77.0,3.36
Laas,80,IT,1586799935,40,46.62,10.7,69.8,3.36
Hongjiang,100,CN,1586799936,56,27.11,110.0,58.64,1.92
Havelock,75,US,1586799775,73,34.88,-76.9,72.0,25.28
Samarai,93,PG,1586799840,80,-10.62,150.67,79.66,8.01
Salym,98,RU,1586799940,91,60.06,71.48,37.27,4.56
Salalah,20,OM,1586799818,74,17.02,54.09,82.4,9.17
Görele,0,TR,1586799942,66,41.03,39.0,50.0,6.93
Zuya,6,UA,1586799943,55,45.05,34.32,42.91,4.88
Yar-Sale,41,RU,1586799945,96,66.83,70.83,13.57,9.98
Bria,99,CF,1586799946,44,6.54,21.99,81.09,3.87
Seymchan,88,RU,1586799947,92,62.88,152.43,14.25,2.19
Malbork,49,PL,1586799730,48,54.04,19.03,44.01,18.34
Salihli,0,TR,1586799949,42,38.48,28.15,58.78,3.31
Kholm-Zhirkovskiy,66,RU,1586799950,63,55.52,33.47,51.24,16.58
Gra Lygia,5,GR,1586799951,77,35.02,25.68,64.0,1.83
Baijiantan,88,CN,1586799712,48,45.63,85.18,65.97,6.85
Ancud,90,CL,1586799755,71,-41.87,-73.82,55.4,5.82
Yong’an,45,CN,1586799954,28,39.7,113.69,48.61,3.27
Saldanha,3,ZA,1586799956,72,-33.01,17.94,60.8,9.17
Dawei,22,MM,1586799957,76,14.08,98.2,78.48,5.95
Anadyr,90,RU,1586799730,84,64.75,177.48,8.6,6.71
Vinkovci,92,HR,1586799959,49,45.29,18.8,71.6,13.87
Yantzaza,75,EC,1586799960,65,-3.83,-78.76,77.0,6.93
Vilyuysk,47,RU,1586799961,94,63.76,121.62,14.67,4.88
Alvorada,58,BR,1586799962,59,-12.48,-49.12,87.33,4.34
Isnos,75,CO,1586799963,43,1.94,-76.24,71.92,2.57
Harper,100,LR,1586799964,74,4.38,-7.72,83.05,6.85
Zuwārah,85,LY,1586799965,54,32.93,12.08,70.27,20.18
Kholtoson,100,RU,1586799967,58,50.3,103.31,29.77,3.56
Cayenne,49,GF,1586799968,94,4.93,-52.33,77.0,9.24
Hurghada,0,EG,1586799969,40,27.26,33.81,73.4,9.17
Ladário,75,BR,1586799970,59,-19.0,-57.6,89.6,3.36
Barra de Tecoanapa,29,MX,1586799971,51,16.52,-98.75,87.17,10.45
Bakel,67,SN,1586799973,11,14.9,-12.46,104.86,8.77
Kutum,62,SD,1586799975,12,14.2,24.67,73.92,9.91
Izmalkovo,32,RU,1586799976,52,52.69,37.96,48.15,13.15
Hambantota,52,LK,1586799977,81,6.12,81.12,81.73,8.52
Arkhara,99,RU,1586799978,59,49.42,130.08,42.3,14.16
Ban Nahin,72,LA,1586799979,66,18.24,104.21,65.07,3.85
Majene,69,ID,1586799980,81,-3.54,118.97,77.95,3.62
Manoel Urbano,67,BR,1586799981,51,-8.84,-69.26,89.33,5.17
Dunedin,59,NZ,1586799759,86,-45.87,170.5,43.0,27.0
Tezpur,76,IN,1586799983,36,26.63,92.8,79.9,0.45
Fenoarivo,75,MG,1586799984,82,-18.93,47.44,66.2,9.17
Arak,46,IR,1586799986,29,34.09,49.69,48.99,5.03
Codrington,58,AU,1586799987,55,-38.27,141.97,56.84,9.55
Garmsār,44,IR,1586799988,35,35.22,52.34,56.07,9.04
Progreso,75,MX,1586799989,44,21.28,-89.67,102.99,13.87
Morant Bay,20,JM,1586799990,70,17.88,-76.41,87.01,27.51
Valley City,75,US,1586799991,53,46.92,-98.0,24.8,20.8
Boyolangu,65,ID,1586799992,78,-8.12,111.89,75.96,1.28
Thunder Bay,90,CA,1586799993,54,48.4,-89.32,32.0,19.46
Anito,88,PH,1586799994,82,12.45,125.29,78.46,6.93
Visim,59,RU,1586799995,87,57.65,59.5,31.32,2.01
Kristinestad,99,FI,1586799997,91,62.27,21.38,33.33,21.85
Bukachacha,96,RU,1586799998,72,52.98,116.92,30.65,5.03
Arrondissement de Montbrison,100,FR,1586799999,34,45.67,4.08,68.0,4.7
Bozoum,60,CF,1586800000,46,6.32,16.38,79.7,0.98
Olafsvik,76,IS,1586800001,75,64.89,-23.71,39.96,30.11
Esim,48,GH,1586800002,78,4.87,-2.24,83.14,7.83
Luganville,93,VU,1586800004,84,-15.53,167.17,77.04,9.13
Puerto Madero,5,MX,1586800005,44,14.72,-92.42,95.0,8.05
Halifax,90,CA,1586799904,87,44.65,-63.57,54.0,14.99
Nanpiao,42,CN,1586800008,35,41.1,120.75,54.0,5.39
Kéfalos,0,GR,1586800010,67,36.75,26.96,62.6,2.24
Kibondo,95,TZ,1586800011,67,-3.59,30.72,63.39,1.95
Türkan,0,AZ,1586800012,76,40.36,50.22,48.2,11.41
Verkhoyansk,80,RU,1586800013,87,67.54,133.38,5.25,3.65
Vila Velha,40,BR,1586799807,65,-20.33,-40.29,78.8,8.05
Kuching,20,MY,1586800015,94,1.55,110.33,75.2,2.24
Gamba,93,GA,1586800016,83,-2.65,10.0,80.42,7.61
Guiratinga,9,BR,1586800017,49,-16.35,-53.76,87.55,4.05
Ardatov,9,RU,1586800019,68,55.24,43.1,39.72,7.18
Orlik,1,RU,1586800020,68,52.52,99.83,21.29,1.41
Zhuanghe,22,CN,1586800021,50,39.7,122.99,46.99,10.09
Kingston,20,JM,1586800022,70,18.0,-76.79,87.01,27.51
Vite,32,IN,1586800023,49,17.28,74.55,78.66,8.95
Tevaitoa,26,PF,1586800024,72,-16.78,-151.5,83.5,9.44
Leirvik,75,NO,1586799827,64,59.78,5.5,39.2,28.86
Digby,100,CA,1586800026,47,44.62,-65.77,62.01,18.99
Kurmanayevka,98,RU,1586800027,85,52.51,52.07,36.41,12.44
Mumford,43,GH,1586800028,78,5.26,-0.76,83.01,10.16
Hirara,97,JP,1586800030,59,24.8,125.28,63.48,19.24
Huarmey,33,PE,1586800031,58,-10.07,-78.15,80.98,9.13
Mitú,100,CO,1586800032,48,1.2,-70.17,90.32,3.29
Hay River,75,CA,1586800033,46,60.82,-115.8,28.4,4.7
Llangefni,0,GB,1586800034,53,53.26,-4.31,50.0,19.46
Buala,29,SB,1586800035,79,-8.14,159.59,82.44,7.92
Imbituba,40,BR,1586799985,65,-28.24,-48.67,78.8,14.99
Nizwá,99,OM,1586799862,15,22.93,57.53,84.58,1.72
Bredy,94,RU,1586800039,73,52.42,60.34,35.44,12.44
Paoua,48,CF,1586800040,38,7.24,16.44,83.88,2.71
Vanavara,0,RU,1586800041,88,60.34,102.28,31.32,2.68
Mayo,90,US,1586799758,61,38.89,-76.51,75.99,20.8
Kenai,90,US,1586800043,100,60.55,-151.26,37.99,1.5
Polunochnoye,100,RU,1586800044,91,60.87,60.42,36.61,8.72
Victor Harbor,8,AU,1586800045,54,-35.57,138.62,66.0,5.17
Tezu,10,IN,1586800047,41,27.92,96.17,72.57,3.74
Prieska,41,ZA,1586800048,20,-29.66,22.75,74.82,11.27
Yanam,0,IN,1586800049,76,16.73,82.22,81.39,5.61
Texarkana,75,US,1586799779,57,33.43,-94.05,53.01,5.82
Mitsamiouli,100,KM,1586800051,78,-11.38,43.28,83.89,14.34
Poronaysk,58,RU,1586800052,94,49.22,143.12,29.12,1.63
Eirunepé,90,BR,1586799833,52,-6.66,-69.87,88.61,4.0
Necochea,100,AR,1586800054,80,-38.55,-58.74,62.01,4.0
Visby,34,SE,1586800055,55,57.64,18.3,42.01,16.11
Suchedniów,89,PL,1586800057,100,51.05,20.83,48.99,10.69
Miraflores,20,MX,1586800058,12,19.22,-98.81,82.4,4.7
Mexico,75,PH,1586800059,88,15.06,120.72,82.4,6.93
La Rioja,26,ES,1586800032,45,42.25,-2.5,66.2,5.82
San Juan,0,AR,1586799847,27,-31.54,-68.54,72.09,6.62
Kyaikkami,36,MM,1586800063,68,16.08,97.57,83.1,10.76
Boguchany,0,RU,1586800064,87,58.38,97.45,33.3,3.42
Fort Saint James,70,CA,1586800066,55,54.43,-124.25,38.62,1.01
Pastos Bons,66,BR,1586800068,72,-6.6,-44.08,83.86,4.45
Chernyshevskiy,94,RU,1586800069,85,63.01,112.47,31.21,2.44
Alofi,87,NU,1586800070,94,-19.06,-169.92,71.6,2.24
Northam,0,GB,1586800071,59,51.03,-4.22,55.0,8.99
Harboøre,33,DK,1586800072,56,56.62,8.18,44.01,26.4
Nago,90,JP,1586800073,48,26.59,127.98,62.6,17.22
Umluj,0,SA,1586800074,56,25.02,37.27,73.49,8.3
Basoko,97,CD,1586800077,68,1.24,23.62,77.63,0.65
San Cristobal,20,VE,1586800078,46,7.77,-72.22,93.2,11.41
Vallenar,0,CL,1586800079,18,-28.57,-70.76,80.56,9.69
Nyurba,0,RU,1586800080,96,63.28,118.33,23.29,1.86
Flin Flon,40,CA,1586800081,55,54.77,-101.86,10.4,13.87
Lhokseumawe,100,ID,1586799973,79,5.18,97.15,80.13,4.23
Rio Grande,93,BR,1586799860,57,-32.03,-52.1,80.6,8.05
Duki,1,PK,1586800084,18,30.15,68.57,76.69,3.42
Port Lincoln,13,AU,1586799838,46,-34.73,135.87,65.61,9.19
Chapais,90,CA,1586800062,93,49.78,-74.85,37.4,18.34
Lasem,72,ID,1586800088,80,-6.69,111.45,79.5,4.21
Husavik,20,IS,1586800089,50,66.04,-17.34,51.8,31.09
Kargil,79,IN,1586800090,25,34.57,76.1,33.26,3.8
Linden,75,GY,1586800091,55,6.0,-58.3,89.6,13.87
La Ronge,20,CA,1586800092,55,55.1,-105.28,8.6,11.41
Copiapó,0,CL,1586800093,52,-27.37,-70.33,69.8,11.41
Erenhot,65,CN,1586800094,25,43.65,111.98,49.91,8.81
Kashgar,84,CN,1586800095,14,39.45,75.98,62.6,6.71
Tianpeng,40,CN,1586800096,82,30.99,103.94,59.0,2.62
Urubichá,32,BO,1586800097,43,-15.38,-62.95,91.36,6.49
Dongsheng,94,CN,1586800099,24,39.82,109.98,48.97,15.9
